title,genre
On the Riviera (1951),Comedy Musical
Two Lottery Tickets (2016),Comedy
Joy (2018),Drama
La Mission (2009),Drama
"Appeared, The (Aparecidos) (2007)",Horror Thriller
Office Space (1991),(no genres listed)
"Reeds, The (2009)",Action Horror Thriller
Close to Leo (Tout contre Léo) (2002),Drama
Where the Red Fern Grows (1974),Children Drama
Elvis and Me (1988),Drama Romance
Winter Solstice (2004),Drama
Deadfall (1993),Comedy Crime Drama
Cek Toko Sebelah (2016),Children Comedy
"Ugly Dachshund, The (1966)",Children Comedy
Lost City Raiders (2008),Action Adventure Sci-Fi Thriller
Collapse (2009),Documentary
Isle of the Snake People (1971),Horror Mystery
"Laughing Policeman, The (1973)",Crime Drama Thriller
Kids of Survival (1996),Documentary
When the Raven Flies (1984),Action Drama
Food of the Gods II (1989),Horror Sci-Fi
Plan B (2009),Comedy Drama Romance
Arachnoquake (2012),Action Horror Sci-Fi
We the Animals (2018),Drama
We're from Jazz (1983),Comedy
Days and Nights in the Forest (Aranyer Din Ratri) (1970),Drama
Confetti Harvest (2014),Drama
Sugar Mountain (2016),Drama Thriller
The Big Bet (1985),(no genres listed)
Fubar II (Fubar: Balls to the Wall) (2010),Comedy
Duck Season (Temporada de patos) (2004),Comedy
Plan (2004),(no genres listed)
The Sleeping Voice (2011),Drama War
Truly Human (Et rigtigt menneske) (2001),Drama
"Girl from Monday, The (2005)",Action Comedy Sci-Fi
Return to Lonesome Dove (1993),Drama Western
Married by Christmas (2016),Comedy Romance
Prodigy (2017),Drama Sci-Fi Thriller
The Last Diamond (2014),Drama
Sex Doll (2016),Drama Mystery Thriller
Der Vorname (2018),Comedy
How Much Does the Trojan Horse Weigh? (2008),(no genres listed)
3rd World Hero (Bayaning Third World) (2000),Drama
Saint Jack (1979),Drama
Nastazja (1994),Drama
Ghost Recon: Alpha (2012),Action Sci-Fi Thriller War
Barbie: Spy Squad (2016),Action Animation Children
State Like Sleep (2019),Drama
Dread (2009),Horror
Housefull 3 (2016),Comedy Romance
"Undead, The (1957)",Fantasy Horror
School's Out (2019),Drama Thriller
Class Enemy (2013),Drama
The Green Book: Guide to Freedom (2019),Children Drama
Election Day (2007),Documentary
Mourning Becomes Electra (1947),Drama
Senior Skip Day (2008),Comedy
Mulk (2018),Drama
The Garden of Sinners - Chapter 2: …and nothing heart. (Murder Speculation Part A) (2007),Animation
The Saint (2017),Action Adventure Crime
The Rebel Set (1959),Drama
Book of Love (1990),Comedy Romance
Lascars (2009),Animation Comedy
Imitation Girl (2017),Drama Sci-Fi
"After Fall, Winter (2011)",Drama
The Summit (2017),Drama
Who Saw Her Die? (1972),Horror Mystery Thriller
Thought Crimes (2015),Documentary
A LEGO Brickumentary (2015),Documentary
The West (1996),(no genres listed)
The Elephant God (1979),(no genres listed)
American Boy: A Profile of: Steven Prince (1978),Documentary
Pier Paolo Pasolini (1995),(no genres listed)
That Sugar Film (2014),Documentary
7 Khoon Maaf (2011),Drama Mystery Thriller
Surviving Desire (1991),Comedy Drama Romance
With Open Arms (2017),Comedy
"Infidel, The (2010)",Comedy
My Good Hans (2015),(no genres listed)
The Last Gladiators (2011),Documentary
14+ (2015),Drama Romance
Yesterday Girl (Abschied von gestern - Anita G.) (1966),Comedy Romance
From Time to Time (2009),Adventure Drama Fantasy
Lu Over the Wall (2017),Animation Children Fantasy
"New Life, A (La vie nouvelle) (2002)",Drama
Sun Dogs (2017),Comedy Drama
Rangoon (2017),Drama Romance
This Mountain Life (2018),Adventure Documentary
"Act of Seeing with One's Own Eyes, The (1971) ",Documentary
On the Buses (1971),Comedy
Millionaire Dogs (1999),Animation Children
Crash Dive (1943),Drama Romance War
The Fearmakers (1958),Thriller
Save the Last Dance 2 (2006),Drama Romance
Five for Hell (1969),Action Drama War
Mega Time Squad (2018),Comedy Sci-Fi
One Small Hitch (2013),Comedy Romance
Hydrangea (2017),Drama
Rock Slyde (2010),Comedy Mystery Thriller
Under the Volcano (1984),Drama
The World of Stainboy (2000),Animation
New York (2009),Crime Drama Thriller
"Sea Wolf, The (1941)",Adventure Drama
She's Dating the Gangster (2014),Comedy Drama Romance
Boots on the Ground (2017),(no genres listed)
"Bostonians, The (1984)",Drama Romance
Midnight Lace (1960),Mystery Thriller
At Middleton (2013),Comedy Romance
The Savage Five (1974),Action
"São Paulo, Sociedade Anônima (1965)",Drama
Starie znakomie (1956),Animation
Creepozoids (1987),Horror Sci-Fi
Fonzy (2013),Comedy
Nobody's Children (I figli di nessuno) (1952),Drama Romance
Stereo (2014),Thriller
Viy (2014),Adventure Fantasy Mystery Thriller
Adrift in Tokyo (Tenten) (2007),Comedy Drama
"Crow, The: Wicked Prayer (2005)",Action Adventure Fantasy Thriller
No Mercy (2019),Action
Hangman's Curse (2003),Horror Mystery Thriller
Map of the Sounds of Tokyo (2009),Drama Thriller
Bikini Summer (1991),Comedy
Soft Matter (2018),Comedy Horror Sci-Fi
Papadopoulos & Sons (2012),Comedy Drama
Go for Broke! (1951),Drama War
Don't Need You - The Herstory of Riot Grrrl (2005),Documentary
The Inhabited Island (2008),Fantasy Sci-Fi
"Search, The (1948)",Drama War
Plastic (2014),Action Crime
Rubber Johnny (2005),Animation Horror
Born to Dance (1936),Comedy Musical
13 Cameras (2015),Drama Horror
Embrace of the Vampire (2013),Horror
Hungry Hearts (2014),Drama
Lucie Aubrac (1997),Romance War
Caliber 9 (1972),Action Crime Thriller
Magical Girl (2014),Drama
Web Junkie (2014),Documentary
Orwell Rolls in His Grave (2003),Documentary
Jane Eyre (1997),Drama Romance
Bharat Ane Nenu (2018),Action Drama
Craig Ferguson: Tickle Fight (2017),Comedy
Brian's Song (1971),Drama
Hum Tumhare Hain Sanam (2002),Comedy Drama Romance
Walking Tall: Lone Justice (2007),Action Crime Drama Thriller
Requisitos para ser una persona normal (2015),Comedy
Cholera Street (1997),Crime Drama
The Ghosts in Our Machine (2013),Documentary
7500 (2014),Action Horror Mystery Thriller
A Town Has Turned to Dust (1958),Drama
Charlie's Angels (2019),Action Adventure Comedy
Feral (2018),Action Drama Horror Thriller
Ripped (2017),Comedy
Superman II: The Richard Donner Cut (2006),Action Adventure Fantasy Romance Sci-Fi
El Greco (2007),Drama
Heaven and Earth (Ten to Chi to) (1990),Action Adventure Drama War
White Elephant (2012),Drama
"Long Voyage Home, The (1940)",Drama War
The Daughter (2012),Crime Drama
House of Good and Evil (2013),Horror Thriller
Mounted Police Charge (1896),(no genres listed)
"Act of Love (Acte d'amour, Un) (1953)",Drama Romance War
Rambo: Last Blood (2019),Action
Brother Nature (2016),Comedy
"Street with No Name, The (1948)",Crime Drama Film-Noir Thriller
Continental Circus (1972),(no genres listed)
"Mark of Zorro, The (1920)",Adventure Romance Western
Penny Dreadful (2006),Horror Thriller
Fallen (2016),Adventure Drama Fantasy Romance Thriller
An Assassin (2011),(no genres listed)
"Barankin, bud chelovekom (1962)",Animation
L'Ingorgo : Una storia impossibile (1979),Drama
Crimson Gold (Talaye sorgh) (2003),Drama
Double Suicide (Shinjû: Ten no amijima) (1969),Drama Romance
Yellowstone Cubs (1963),(no genres listed)
"Lost Thing, The (2010)",Animation Drama Fantasy
Malice in Wonderland (1982),Animation
When Willie Comes Marching Home (1950),Comedy War
Tears Were Falling (1982),Comedy Drama Fantasy
The Bad Education Movie (2015),Comedy
Spa Night (2016),Drama
"Gamers, The: Dorkness Rising (2008)",Action Adventure Comedy Fantasy
Love and Fear (1988),Drama
Champagne (1928),Comedy
U.S. Go Home (1994),Drama
Flowers of Shanghai (1998),Drama
I as in Icarus (I... comme Icare) (1979),Thriller
Lords of Chaos (2018),Drama Horror Thriller
Tripping the Rift: The Movie (2008),Animation Comedy Sci-Fi
A Groom from the Right Society (1958),Comedy
Post Tenebras Lux (2012),Drama
Diaries Notes and Sketches (Walden) (1969),Documentary
I Believe in Unicorns (2014),Drama
Dirty Hands (1975),Crime Thriller
Ants in the Pants (2000),Comedy Romance
Wild Is the Wind (1957),Drama
Guilty by Suspicion (1991),Drama
"Devil to Pay!, The (1930)",Comedy Romance
Portnoy's Complaint (1972),Comedy Drama
Angela's Christmas (2018),Animation Children
Pathfinder (Ofelas) (1987),Action Adventure Drama
Cantata (1963),Drama
Scream of Stone (Cerro Torre: Schrei aus Stein) (1991),Drama
Black Emanuelle (1975),Drama
Around the Bend (2004),Drama
Adam Sandler: 100% Fresh (2018),Comedy
Shaitani Ilaaka (1990),(no genres listed)
Lovely Complex (2006),Comedy Romance
KISS Rocks Vegas (2016),Documentary
Scialla! (2011),Comedy
Yolanda and the Thief (1945),Fantasy Musical Romance
Venom Islands (2012),Documentary
Byzance (1964),Documentary
Straight to Hell (1987),Comedy Crime Western
Voyage of Time: Life's Journey (2016),Documentary Drama
A Gift Wrapped Christmas (2015),Children Drama
Red Light (1949),Mystery Thriller
"Joshua Tree, 1951: A Portrait of James Dean (2012)",(no genres listed)
I Am Here....Now (2009),Fantasy Sci-Fi Thriller
iCarly: iGo to Japan (2008),Children Comedy
The Entity (aka La Entidad) (2015),Horror
Vollidiot (2007),Comedy Drama
Eye of the Dolphin (2006),Children Drama
Tweety Pie (1947),Animation Children Comedy
Dough (2015),Comedy Drama
Captain Underpants: The First Epic Movie (2017),Action Animation Children Comedy
Spreading the Truth (Difundiendo la verdad) (2004),Documentary
Journey to Saturn (Rejsen til Saturn) (2008),Action Adventure Animation Sci-Fi
Hayflower and Quiltshoe (2002),Adventure Children Comedy
"Good Luck Charlie, It's Christmas! (2011)",Children Comedy
Aprile (1998),Comedy
"French Minister, The (Quai d'Orsay) (2013)",Comedy
"Wizard of Baghdad, The (1960)",Comedy Fantasy Musical
Sisters (Syostry) (2001),Action Crime Drama
"Murder, Inc. (1960)",Crime Drama
Life Is a Long Quiet River (La vie est un long fleuve tranquille) (1988),Comedy
Last Christmas (2019),Comedy Romance
Cold Sweat (1993),Thriller
Bill Bailey: Tinselworm (2008),Comedy Documentary
Murderous Tales (2016),Animation
Padre padrone (1977),Drama
Ryuzo and the Seven Henchmen (2015),Action Comedy
DeadTectives (2018),Comedy Horror
10x10 (2018),Thriller
Pretty Bird (2008),Comedy Drama
"No. 1 Ladies' Detective Agency, The (2008)",Comedy Crime Mystery
Now & Later (2009),Drama
The Devil's Violinist (2013),Drama
Nordkraft (2005),Crime Drama Romance
Here There Be Tygers (1989),(no genres listed)
Class of Nuke 'Em High Part II: Subhumanoid Meltdown (1991),Comedy Horror Sci-Fi
Jeepers Creepers 3 (2017),Horror Mystery Thriller
Vabank II (1985),Comedy Crime
Boricua's Bond (2000),Drama
At Home by Myself... with You (2009),Comedy Romance
Joan Didion: The Center Will Not Hold (2017),Documentary
William Shatner Presents: Chaos on the Bridge (2015),Documentary Sci-Fi
Wasted on the Young (2010),Drama Romance Thriller
Islam and the Future of Tolerance (2018),Documentary
Supermen of Malegaon (2008),Documentary
Death by Hanging (Koshikei) (1968),Comedy Crime
App (2013),Thriller
The Quietude (2018),Drama Thriller
Tough Luck (2004),Action Adventure Thriller
40 Guns to Apache Pass (1967),Adventure Romance Western
Like Water (2011),Documentary
The Return of Ringo (1965),Action Drama Romance Western
The Meeting Point (1989),Comedy Drama Fantasy
Handicapped Future (1971),Documentary
"Perfume of the Lady in Black, The (Il profumo della signora in nero) (1974)",Horror Mystery Thriller
Marx Reloaded (2011),(no genres listed)
Sweet Rain: Accuracy of Death (2008),Comedy Drama Fantasy
Torso (1973),Horror Mystery Thriller
Otis (2008),Comedy Crime Horror Thriller
Ash Wednesday (2002),Crime Drama
Werewolf (2017),Drama
Bottom of the World (2017),Drama Mystery Thriller
The Wedding Plan (2017),Comedy Romance
Finding Your Feet (2017),Comedy
"Swindle, The (Rien ne va plus) (1997)",Comedy Crime Thriller
Evil - In the Time of Heroes (To kako - Stin epohi ton iroon) (2009),Adventure Comedy Horror
For Those in Peril (2013),Drama
The Foundling (1939),Comedy Drama
102 Not Out (2018),Children Comedy Drama
"Bloody Child, The (1996)",Drama Thriller
Hidden Agenda (1990),Drama Thriller
The Man Who Skied Down Everest (1975),Documentary
Girls of the Sun (2018),Drama
Libre et assoupi (2014),Comedy
Carry On Dick (1974),Comedy
This Night I'll Possess Your Corpse (Esta Noite Encarnarei no Teu Cadáver) (1967),Horror
Mako: The Jaws of Death (1976),Horror Thriller
The Hollow (2015),Horror
Recep İvedik (2008),(no genres listed)
One Man's War (1973),Drama
"Squaw Man, The (1914)",Drama Western
Dead Man's Bounty (2006),Action Thriller Western
Poker King (2009),Comedy
Anti-Social (2015),Crime
Brimstone (2016),Mystery Thriller Western
Victor Crowley (2017),Comedy Horror
Interceptor (1993),Action Sci-Fi
Naruto Shippuden the Movie: Blood Prison (2011),Action Animation Comedy Horror Mystery Thriller
The Werewolf vs the Vampire Woman (1971),Horror
Notes on Blindness (2016),Documentary
Avenger (2006) ,Thriller
Hollow Triumph (a.k.a. The Scar) (1948),Crime Drama Film-Noir
Scrat's Continental Crack-Up: Part 2 (2011),Adventure Animation Comedy
Emilie Muller (1994),(no genres listed)
The Rape of the Vampire (1968),Horror
Boats Out of Watermelon Rinds (2004),(no genres listed)
Trauma (2004),Drama Mystery Thriller
Entrance (2012),Drama Horror Thriller
"English Surgeon, The (2007)",Documentary
Richard Jeni: A Big Steaming Pile of Me (2005),Comedy
Pity (2018),Drama
At the Death House Door (2008),Documentary
Jackie & Ryan (2015),Drama
The Uncanny (1977),Horror
Poor Cow (1967),Drama
Sawney: Flesh of Man (2012),Horror
The Blizzard (1965),Drama Romance
Hemel (2012),Drama
House of the Dead 2 (2005),Action Horror Sci-Fi Thriller
Fathom (1967),Adventure
Boy on a Dolphin (1957),Adventure Romance
Invasion 1897 (2014),Documentary
Jean Charles (2009),Documentary Drama
Zoo (2007),Documentary
The Taking of Tiger Mountain (2014),Adventure Thriller War
Summer Magic (1963),Children Comedy Musical
"Dead, The (2010)",Horror
Raajneeti (2010),Crime Drama Romance
Everything Put Together (2000),Drama
(A)sexual (2011),Documentary
"Scream, Blacula, Scream! (1973)",Horror
Bad Medicine (1985),Comedy
Read It and Weep (2006),Comedy
One. Two. One (2011),(no genres listed)
Dovlatov (2018),Drama
Jim Gaffigan: Cinco (2017),Comedy
The Search for General Tso (2014),Documentary
"Swan Princess: Escape from Castle Mountain, The (1997)",Animation Children Fantasy Romance
Brigham Young (1940),Romance Western
"Birdsong (Cant dels ocells, El) (2008)",Drama
"Man from Beyond, The (1922)",Mystery
Fashion Victims (2007),Comedy
The Best Movie 3-DE (2011),Comedy
"Party 2, The (Boum 2, La) (1982)",Comedy Romance
The Vintner's Luck (2009),Drama Fantasy Romance
Pokémon: Jirachi Wish Maker (2003),Action Adventure Animation Children
Refugee (2000),Drama Romance
Monster Brawl (2011),Comedy Horror
Tokyo Gore Police (Tôkyô zankoku keisatsu) (2008),Action Horror
LUV (2012),Drama
My Life Directed by Nicolas Winding Refn (2014),Documentary
The Land Beyond the Sunset (1912),Drama Fantasy
Manhattan Melodrama (1934),Crime Drama Romance
"Seafarers, The (1953)",Documentary
One-Eyed Monster (2008),Comedy Horror Sci-Fi
Go Tell the Spartans (1978),Drama War
Used Parts (2007),(no genres listed)
Bill Burr: Walk Your Way Out (2017),Comedy
"Best and the Brightest, The (2010)",Comedy
If You Could Only Cook (1935),Comedy Romance
End Game (2006),Crime Drama Mystery
Seaside (Bord de Mer) (2002),Drama
Don't Kill It (2017),Fantasy Horror
Blue Collar Comedy Tour: One for the Road (2006),Comedy
Twenty (2015),Comedy Drama
Compulsion (1959),Crime Drama Thriller
"Dance, Girl, Dance (1940)",Comedy Drama
The Fox Hunt (1931),Animation
The U (2009),Documentary
Bonjour Monsieur Shlomi (Ha-Kochavim Shel Shlomi) (2003),Comedy Drama
Jump In! (2007),Comedy Drama Romance
The Cookie Carnival (1935),Animation
2012: Ice Age (2011),Action Adventure Sci-Fi
Chapayev (1934),Drama War
The Cyclops (1957),Horror Sci-Fi
Dear Basketball (2017),Animation Documentary Drama
Friend Zone (Pagafantas) (2009),Comedy
Indian Horse (2018),Drama
Antikiller (2002),Action Crime
Day of the Falcon (2011),Adventure Drama
The Sisterhood of Night (2015),Drama
Batman: Return of the Caped Crusaders (2016),Action Animation Comedy
The Fatal Glass of Beer (1933),Comedy
Runoff (2015),Drama
Hurok (2016),Thriller
Shiloh 2: Shiloh Season (1999),Children Drama
Big Driver (2014),Crime Mystery Thriller
Extracurricular Activities (2019),Comedy Drama Romance
The Brooke Ellison Story (2004),Drama
The Tender Game (1958),(no genres listed)
Problem Child 3 (1995),Comedy Fantasy
Our Town (1977),(no genres listed)
No Man's Land (1987),Crime Drama
The Idiot (1958),Drama
"Return of the Vampire, The (1944)",Horror
Ragnarok (2013),Action Adventure
Necronomicon (1993),Horror
Tillie's Punctured Romance (1914),Comedy
Zappa (1983),Drama
Edge of Darkness (1985),(no genres listed)
Dum Laga Ke Haisha (2015),Children Comedy Romance
Première année (2018),(no genres listed)
"Dream Catcher, The (1999)",Drama
October November (2013),Drama
Carnage: Swallowing the Past (2017),Comedy Drama
Land of Hope and Glory (2017),Documentary
The Possession of Hannah Grace (2018),Horror
Polícia Federal - A Lei é Para Todos (2017),Action Thriller
The Burkittsville 7 (2000),Horror
The Last Keepers (2013),Fantasy
Straightheads (Closure) (2007),Crime Drama
Hate Crime (2013),(no genres listed)
Nena (2014),Drama
Ditirambo (1969),Comedy Drama Mystery Thriller
Silent Rage (1982),Action Sci-Fi
'Neath the Arizona Skies (1934),Western
"Two Faces of January, The (2014)",Thriller
Seven Days (2007),Crime
Škola princů (2010),Children
I Died a Thousand Times (1955),Crime Drama Thriller
And Starring Pancho Villa as Himself (2003),Action Comedy Drama War
"Thief Who Came to Dinner, The (1973)",Comedy Romance
Pastorale (1975),Drama
"Monster That Challenged the World, The (1957)",Horror Sci-Fi
Turn the River (2007),Drama
Nieve negra (2017),Thriller
Rattle of a Simple Man (1964),Comedy
"Lone Ranger, The (1956)",Adventure Western
Pervert! (2005),Comedy Horror
Sunday in New York (1963),Comedy Romance
Speaking of Sex (2001),Comedy Romance
Let's Make Money (2008),Documentary
The Brotherhood of Satan (1971),Horror
MacGyver: Lost Treasure of Atlantis (1994),Action Adventure
To Steal from a Thief (2016),Crime Thriller
Operation Daybreak (1975),War
Lonesome Dove Church (2014),Western
Princesas (2005),Drama
Godzilla vs. Megaguirus (Gojira tai Megagirasu: Jî shômetsu sakusen) (2000),Action Sci-Fi
"Flaw, The (2011)",Documentary
White Coffin (2016),Action Horror Thriller
A Hero Ain't Nothin But a Sandwich (1978),Drama
Nothing (2003),Comedy Fantasy Mystery Sci-Fi
"Reef, The (2010)",Drama Horror Thriller
Charlie Victor Romeo (2013),Documentary Drama Thriller
Fear of Water (2015),Drama Romance
Magicians (2007),Comedy
"Prophecy 3: The Ascent, The (2000)",Horror Thriller
The Pointsman (1986),Drama
"Divorcee, The (1930)",Drama Romance
"Dirty Dozen: Next Mission, The (1985)",Action War
Rabbit's Moon (1950),Drama
Sharpe's Eagle (1993),Action Adventure War
Mysteries of Lisbon (Mistérios de Lisboa) (2010),Drama Mystery
The Night Clerk (2011),Drama Thriller
Corman's World: Exploits of a Hollywood Rebel (2011),Documentary
Electra (1962),Action
Bright Leaves (2003),Documentary
The Mountain Road (1960),Drama War
Out at the Wedding (2007),Comedy Romance
Punks (2000),Comedy
Puberty Blues (1981),Comedy Drama
Absolution (2015),Action Adventure Crime Thriller
Wildlife (2018),Drama
Ferdinand the Bull (1938),Animation Children Comedy
"Interrogation, The (Kuulustelu) (2009)",Drama
Moontrap Target Earth (2017),Action Adventure Sci-Fi
Pretty as a Picture: The Art of David Lynch (1997),Documentary
Since You Went Away (1944),Drama War
To Write Love on Her Arms (2015),Drama
Cinema Komunisto (2010),Documentary
Men in War (1957),Drama War
More American Graffiti (1979),Comedy
"The Yakuza Papers, Vol. 2: Deadly Fight in Hiroshima (1973)",Action Crime Drama
The Teacher (2016),Comedy Drama
"Italian, The (1915)",Drama
Crossing the Bridge: The Sound of Istanbul (2005),Documentary Musical
Crying Fist (2005),Drama
"Adventures of Picasso, The (Picassos äventyr) (1978)",Comedy
"The Hire: Star, The (2001)",Action Comedy
Rowing with the Wind (Remando al viento) (1988),Drama Romance
Izzy Gets the F*ck Across Town (2018),Comedy
Weaponized (2016),Action Sci-Fi Thriller
The Flying Doctors of East Africa (1969),Documentary
The Wizard of Gore (1970),Horror
Hotel (2001),Comedy
Drip Dippy Donald (1948),Animation Children Comedy
The Stone Tape (1972),Horror Sci-Fi
Fuck Off 2 - Images from Finland (2017),Documentary
"Desperados, The (1969)",Western
"Adversary, The (L'adversaire) (2002)",Crime Drama Mystery Thriller
Permanent (2017),Comedy
"Last Frontier, The (1955)",Western
Going By The Book (2007),Action Comedy Crime
"Horseman, The (2008)",Crime Thriller
El cuaderno de Sara (2018),Adventure
Roots (2016),(no genres listed)
Mon Oncle Antoine (1971),Drama
Outrageous Class (Hababam sinifi) (1975),Comedy Drama
Umbrella Coup (1980),Comedy
"Ah, L'Amour (1995)",Animation Comedy
Choice of Arms (1981),Crime Drama
The Zero Boys (1986),Action Horror Thriller
The Swedish Theory of Love (2016),Documentary
Slash (2016),Comedy
"Woman in White, The (1948)",Mystery Thriller
Company of Heroes (2013),Action War
Buster and Billie (1974),Crime Drama
Money (2016),Crime Thriller
Farming (2018),Drama
They Call Me Mister Tibbs! (1970),Crime Drama Mystery
Eagle's Wing (1979),Western
Last Resort (2000),Drama Romance
Forbidden World (1982),Horror Sci-Fi
Christmas Crime Story (2017),(no genres listed)
Street Smart (1987),Crime Drama
A Man for Burning (1962),Drama
Galveston (2018),Drama Thriller
Sugar Cane Alley (Rue cases nègres) (1983),Drama
State Fair (1933),Comedy Drama Romance
Tomorrow Is Another Day (1951),Crime
Law of Survival (1967),(no genres listed)
A Bagful of Fleas (1962),(no genres listed)
Bandage (2010),Drama Romance
Kumaré (2011),Documentary
The Craving (2008),Horror
"Last Valley, The (1971)",Adventure
Holiday (2006),Action Children Comedy Crime Drama Romance
Punkspark (2007),(no genres listed)
Machuca (2004),Drama
Tetsuo III: The Bullet Man (2009),Action Horror Sci-Fi
On Ice (1935),Animation
Lola (1961),Drama Romance
Girl (2018),Drama
Dragonheart 3: The Sorcerer's Curse (2015),Action Adventure Fantasy
Copperhead (2013),Drama
The Bed-Sitting Room (1969),Comedy Drama
Silent Youth (2012),Drama
"Haunted World of El Superbeasto, The (2009)",Action Animation Comedy Horror Thriller
RiP: A Remix Manifesto (2009),Documentary
Les Héritiers (2014),Comedy Drama
Greetings (1968),Comedy
"Good Fairy, The (1935)",Comedy Romance
Paris 36 (Faubourg 36) (2008),Drama Musical Romance
"Atomic Submarine, The (1959)",Sci-Fi Thriller
Temple (2017),Horror
The Tale (2018),Drama
Jesus (1979),Drama
Princess Cyd (2017),Drama
Betty Boop's Museum (1932),Animation Comedy
The Asylum (2016),Action Horror Mystery Sci-Fi Thriller
The Book of Love (2017),Drama
"Necessary Death, A (2008)",Crime Drama Thriller
"Zidane: A 21st Century Portrait (Zidane, un portrait du 21e siècle) (2006)",Documentary
Radio Free Albemuth (2010),Drama Sci-Fi
Charlie Chan at the Olympics (1937),Comedy Crime Mystery Thriller
Figures in a Landscape (1970),Thriller
The Cat with Hands (2001),Animation Fantasy Horror Mystery
The Life & Adventures of Santa Claus (2000),Animation Children
"Silent World, The (Le monde du silence) (1956)",Documentary
Library Wars: The Last Mission (2015),Action Comedy Romance
The Show (1995),Documentary
"Gas, Inspector Palmu! (Kaasua, komisario Palmu!) (1961)",Comedy Crime Mystery Thriller
Girl in the Cadillac (1995),Drama
Stalingrad (2013),Action Drama War IMAX
Medicine for Melancholy (2008),Drama Romance
Aankhen (2002),Comedy Crime Thriller
Firestorm (2013),Action Crime
Anton Corbijn Inside Out (2012),Documentary
Secrets of a Psychopath (2014),Horror Thriller
Get Ready (1999),(no genres listed)
Love and Sex under Nazi Occupation (Amour et sexe sous l'occupation) (2011) ,Documentary
Cosas insignificantes (2008),Children Drama
Hana and Alice (Hana to Arisu) (2004),Comedy Drama
Capricious Summer (Rozmarné léto) (1968),Comedy
A.K. (1985),Documentary
Happy Valley (2014),Documentary
Skinwalker Ranch (2013),Horror Sci-Fi Thriller
Flock of Dodos: The Evolution-Intelligent Design Circus (2006),Documentary
Break! (1985),Animation Comedy
CBGB (2013),Drama
Til Death Do Us Part (2011),Drama Romance
Alanis (2017),Drama
Maniac Cop 3: Badge of Silence (1993),Action Horror
Sugar Coated (2015),(no genres listed)
Bed of the Dead (2016),Horror
Below the Belt (1980),Action Comedy Drama
Crazy Sexy Cancer (2007),Documentary
Happily N'Ever After 2 (2009),Animation Children
The Video Dead (1987),Horror
Time Tracers (1995),Action Adventure Sci-Fi
Simon Amstell: Do Nothing - Live (2010),Comedy
Wu Tang Master (Tian shi zhuang xie) (1983),Action
O Que Há De Novo No Amor? (2012),Drama Romance
The Murderers Are Coming (1944),Drama War
3 Ring Circus (1954),Comedy
"Birder's Guide to Everything, A (2013)",Comedy
Yucatán (2018),Comedy
Iron Man & Hulk: Heroes United (2013),Action Adventure Animation
"Waiting Game, The (2000)",Comedy
Ground Control (1998),Action Adventure Drama Thriller
Diary of a Hitman (1991),Crime Drama Thriller
Jedda (1955),Action Adventure Drama
A Merry Friggin' Christmas (2014),Comedy
Ulzana's Raid (1972),Adventure Western
Paris by Night (2012),Crime Drama
Relative Strangers (2006),Comedy
Century of Birthing (2011),Drama
Night Watch (1973),Horror Mystery Thriller
"The Death of ""Superman Lives"": What Happened? (2015)",Documentary
This Man Must Die (Que la bête meure) (1969),Crime Drama Thriller
This Land Is Mine (2012),Animation
The Butterfly's Dream (2013),Drama
Moondance Alexander (2007),Children Drama
Search and Destroy (1995),Comedy Drama
The Smiling Ghost (1941),Comedy Mystery
Tsiou (2005),(no genres listed)
April Love (1957),Comedy Drama Musical
"Whip Hand, The (1951)",Action Adventure Crime Drama Sci-Fi Thriller War
Army Dog (2016),(no genres listed)
Nothing But a Man (1964),Drama
Paris Trout (1991),Drama
Garden of Love (2003),Horror
London After Midnight (1927),Drama Horror
Man Made Monster (1941),Drama Horror Sci-Fi Thriller
Lavalantula (2015),Horror Sci-Fi
Get Educated: Paathshaala (2010),Drama
Black Peter (Cerný Petr) (1964),Drama
The Program (2015),Drama
Ginger (1971),Action Crime Drama
"Deprisa, Deprisa (1981)",Crime Drama
"Damned, The (Les Maudits) (1947)",Drama
Girl 27 (2007),Documentary
Trade (2007),Crime Drama Thriller
Scott Joplin (1977),Drama
"Gentlemen Don't Eat Poets (Grotesque, The) (1995)",Comedy Drama Horror
The Parrot and the Swan (2013),(no genres listed)
Happiness (Schastye) (1934),Comedy Drama
"Memory Keeper's Daughter, The (2008)",Drama
Don't Go In the Woods (1981),Horror
A Pain in the Ass (1973),Comedy Crime
Kagi (Odd Obsession) (1959),Drama
Marooned in Iraq (Gomgashtei dar Aragh) (2002),Drama
Aurora Borealis (2005),Drama Romance
Game Over (2006),Drama
Tarzan's Secret Treasure (1941),Action Adventure
Chato's Land (1972),Western
Moscow-Cassiopeia (1973),Adventure Children Comedy Sci-Fi
The Easiest Way (1931),Drama Romance
Ittefaq,(no genres listed)
Walt Before Mickey (2015),Drama
Lai Bhaari (2014),(no genres listed)
Those Calloways (1965),Children Drama
Aditya 369 (1991),Sci-Fi
Attack Force Z (a.k.a. The Z Men) (Z-tzu te kung tui) (1982),War
Def Comedy Jam 25 (2017),Comedy
The Jackpot (1950),Comedy
The Far Pavilions (1984),Drama Romance
Kiss of the Tarantula (1976),Horror
The History of WWE: 50 Years of Sports Entertainment (2013),Documentary
Claire in Motion (2016),Drama
Painted Fire (Chihwaseon) (2002),Drama
Birdcage Inn (Paran daemun) (1998),Drama
Three Orphan Kittens (1935),Animation
